2025-08-25 15:31:57,917 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 15:31:57,937 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 15:32:07,500 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 15:32:07,502 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 15:46:22,265 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 15:46:22,267 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 15:46:22,269 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-25 15:48:41,972 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-25 15:48:42,234 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 15:48:42,250 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 15:48:49,011 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 15:48:49,012 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 15:49:11,369 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 15:49:11,375 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 15:49:11,377 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-25 15:51:22,582 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-25 15:51:22,808 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 15:51:22,820 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 15:51:26,607 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 15:51:26,608 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 15:53:36,778 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 15:53:36,783 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 15:53:36,787 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-25 15:55:41,698 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-25 15:55:41,853 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 15:55:41,860 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 15:55:45,406 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 15:55:45,407 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 15:56:40,616 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 15:56:40,621 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 15:56:40,624 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-25 15:58:52,513 | INFO     | core.lifespan | info:44 | Starting up application...
2025-08-25 15:58:52,760 | INFO     | core.lifespan | info:44 | Successfully connected to MongoDB
2025-08-25 15:58:52,768 | INFO     | core.lifespan | info:44 | Beanie initialized successfully
2025-08-25 15:58:56,409 | INFO     | core.lifespan | info:44 | Service factory initialized successfully
2025-08-25 15:58:56,411 | INFO     | core.lifespan | info:44 | Application startup completed successfully
2025-08-25 15:59:14,964 | INFO     | core.lifespan | info:44 | Shutting down application...
2025-08-25 15:59:14,967 | INFO     | core.lifespan | info:44 | MongoDB connection closed
2025-08-25 15:59:14,968 | INFO     | core.lifespan | info:44 | Application shutdown completed successfully
2025-08-25 16:06:18,388 | INFO     | core.lifespan | info:44 | Starting up application...
